time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735292	0.629424	7.20493	-1.72575e-17	-2.40302e-17	radar	74.6446	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.49494	7.20802	-0.127183	-0.0118505	lidar	0.220944	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25799	0.533094	7.19318	0.12264	0.0305807	radar	1.82505	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61584	0.595354	7.20672	0.161485	0.0461878	lidar	0.167281	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85112	0.561958	6.00777	0.0257118	-0.231862	radar	7.66326	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16288	0.591376	6.00746	0.0404012	-0.176387	lidar	0.253357	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37873	0.637399	5.60122	0.0568705	-0.334803	radar	6.23134	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65585	0.654639	5.5988	0.0457249	-0.313831	lidar	0.00787084	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.9223	0.648314	5.53284	-0.00165093	-0.465114	radar	0.404748	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15804	0.644109	5.48855	-0.0149486	-0.431254	lidar	1.19396	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44365	0.540177	5.5215	-0.163376	-0.845457	radar	1.28312	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74682	0.427879	5.58909	-0.282519	-1.0687	lidar	2.09907	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02752	0.512099	5.55094	-0.145657	-0.546633	radar	4.13904	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30136	0.504152	5.53246	-0.138628	-0.463652	lidar	0.369043	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.5618	0.540499	5.4463	-0.0977378	-0.325189	radar	2.05917	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75086	0.647294	5.28097	0.00296149	-0.0819704	lidar	12.8575	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00292	0.646038	5.21084	-0.00519974	-0.0907623	radar	1.85248	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30312	0.643005	5.26304	-0.0118728	-0.0946077	lidar	2.46118	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
